u_num,u_den,v_num,v_den,inx,d,c,b,a
201,4,136,-133,12,156646737,146627384,108644015,27450160
201,4,136,-133,5,16003017,14173720,12552200,4479031
201,4,-1005,568,5,16003017,14173720,12552200,4479031
201,4,-1005,568,12,156646737,146627384,108644015,27450160
201,4,4372152,935219,5,16003017,14173720,12552200,4479031
201,4,4372152,935219,97,8997319881974346759473697,8281143989708209432415360,6550300128305909879699935,1749772249172099623115896
201,4,6210699,13897628,12,156646737,146627384,108644015,27450160
201,4,6210699,13897628,999,1447760188128589806063912993,1312026469210482429462939440,1087682246112509824947055976,417484587979578624273415135
201,4,7919435,17426416,97,8997319881974346759473697,8281143989708209432415360,6550300128305909879699935,1749772249172099623115896
201,4,7919435,17426416,5,16003017,14173720,12552200,4479031
201,4,216566800,45486779,999,1447760188128589806063912993,1312026469210482429462939440,1087682246112509824947055976,417484587979578624273415135
201,4,216566800,45486779,12,156646737,146627384,108644015,27450160
-5,8,-1617,200,14,638523249,630662624,275156240,219076465
-5,8,-1617,200,13,589845921,582665296,260052385,186668000
-5,8,-477,692,7,20615673,18796760,15365639,2682440
-5,8,-477,692,20,3393603777,3134081336,2448718655,664793200
-5,8,20824,2003,7,20615673,18796760,15365639,2682440
-5,8,20824,2003,37,5062297699257,4987588419655,2480452675600,502038853976
-5,8,34272,-4885,13,589845921,582665296,260052385,186668000
-5,8,34272,-4885,14,638523249,630662624,275156240,219076465
-5,8,36696,8687,20,3393603777,3134081336,2448718655,664793200
-5,8,36696,8687,7,20615673,18796760,15365639,2682440
-5,8,398113,66200,54,62940516903410601,56827813308111785,47886740272114976,8813425670440240
-5,8,398113,66200,13,589845921,582665296,260052385,186668000
-5,8,-124529,68084,37,5062297699257,4987588419655,2480452675600,502038853976
-5,8,-124529,68084,7,20615673,18796760,15365639,2682440
-5,8,176752,-157345,14,638523249,630662624,275156240,219076465
-5,8,176752,-157345,52,20249506709579721,18565945114216720,14890026433468471,3579087147375440
-5,8,4037701,712772,20,3393603777,3134081336,2448718655,664793200
-5,8,4037701,712772,68,108593344076382641697,107238802094189542120,46196947347028916440,38751631463616255521
-5,8,4718261,816880,52,20249506709579721,18565945114216720,14890026433468471,3579087147375440
-5,8,4718261,816880,14,638523249,630662624,275156240,219076465
-5,8,3589408,-3049765,13,589845921,582665296,260052385,186668000
-5,8,3589408,-3049765,54,62940516903410601,56827813308111785,47886740272114976,8813425670440240
-5,8,34666792,-31592857,68,108593344076382641697,107238802094189542120,46196947347028916440,38751631463616255521
-5,8,34666792,-31592857,20,3393603777,3134081336,2448718655,664793200
-5,8,541388136,3857219,105,133140691304639620846181457,129410861225043592041256520,74522041242387759937530799,41328162329293632574512440
-5,8,541388136,3857219,37,5062297699257,4987588419655,2480452675600,502038853976
-5,8,-4250103489,1384328092,37,5062297699257,4987588419655,2480452675600,502038853976
-5,8,-4250103489,1384328092,105,133140691304639620846181457,129410861225043592041256520,74522041242387759937530799,41328162329293632574512440
-29,12,1865,132,36,2051764828361,2032977944240,894416022327,125777308440
-29,12,1865,132,3,8707481,8332208,5507880,1705575
-29,12,6280,1359,46,45556888578449,43940127884360,27546142170735,7908038161032
-29,12,6280,1359,3,8707481,8332208,5507880,1705575
-29,12,30768,-57253,3,8707481,8332208,5507880,1705575
-29,12,30768,-57253,36,2051764828361,2032977944240,894416022327,125777308440
-29,12,-3333,107368,3,8707481,8332208,5507880,1705575
-29,12,-3333,107368,46,45556888578449,43940127884360,27546142170735,7908038161032
-29,12,-189274425,1076672236,999,8229646208430186915167706621881,7918174790330642885254291363640,5060779866902849712056608508592,425728077239657769125737790535
-29,12,-189274425,1076672236,36,2051764828361,2032977944240,894416022327,125777308440
-29,12,9943745400,-11841832129,999,3762098874072146335431610024521161,3544724218928041607923371624299240,2511945393847796136912099490227552,1272617115110814812810988604290615
-29,12,9943745400,-11841832129,46,45556888578449,43940127884360,27546142170735,7908038161032
-9,20,-1041,320,17,1679142729,1670617271,632671960,50237800
-9,20,-1041,320,1,422481,414560,217519,95800
-9,20,-1425,412,23,15434547801,15355831360,5821981400,140976551
-9,20,-1425,412,2,2813001,2767624,1390400,673865
-9,20,1000,47,1,422481,414560,217519,95800
-9,20,1000,47,17,1679142729,1670617271,632671960,50237800
-9,20,-4209,3500,1,422481,414560,217519,95800
-9,20,-4209,3500,44,29999857938609,27239791692640,22495595284040,7592431981391
-9,20,5728,215,2,2813001,2767624,1390400,673865
-9,20,5728,215,23,15434547801,15355831360,5821981400,140976551
-9,20,34225,6692,49,573646321871961,514818101299289,440804942580160,130064300991400
-9,20,34225,6692,2,2813001,2767624,1390400,673865
-9,20,30080,6007,44,29999857938609,27239791692640,22495595284040,7592431981391
-9,20,30080,6007,1,422481,414560,217519,95800
-9,20,41952,-33865,2,2813001,2767624,1390400,673865
-9,20,41952,-33865,49,573646321871961,514818101299289,440804942580160,130064300991400
-9,20,210232185,6094384,99,21291952935426564624339201,20991236668646283695879935,10137374115207940432133560,5328636655728999148343576
-9,20,210232185,6094384,23,15434547801,15355831360,5821981400,140976551
-9,20,-68433257,17513240,17,1679142729,1670617271,632671960,50237800
-9,20,-68433257,17513240,96,6714012701109174954871521,6632467268281371571709360,3057432874236989781768479,1758067984180618846616200
-9,20,61008600,1159319,96,6714012701109174954871521,6632467268281371571709360,3057432874236989781768479,1758067984180618846616200
-9,20,61008600,1159319,17,1679142729,1670617271,632671960,50237800
-9,20,107014216,-29258425,23,15434547801,15355831360,5821981400,140976551
-9,20,107014216,-29258425,99,21291952935426564624339201,20991236668646283695879935,10137374115207940432133560,5328636655728999148343576
-41,36,9360,2371,26,46055390617,41714673255,34169217200,18125123544
-41,36,9360,2371,16,1259768473,1166705840,859396455,588903336
-41,36,-4061,16308,16,1259768473,1166705840,859396455,588903336
-41,36,-4061,16308,26,46055390617,41714673255,34169217200,18125123544
-41,36,-2441565,942392,79,11305555143522867817873,10539980352556633840239,7799922278924748599160,4141571237269338150920
-41,36,-2441565,942392,16,1259768473,1166705840,859396455,588903336
-41,36,22869016,-1897173,16,1259768473,1166705840,859396455,588903336
-41,36,22869016,-1897173,79,11305555143522867817873,10539980352556633840239,7799922278924748599160,4141571237269338150920
-41,36,-899039709,34381252,26,46055390617,41714673255,34169217200,18125123544
-41,36,-899039709,34381252,999,2452027846628074752317656633,2268980591416238811991951544,1748906536557821582563274160,733355751620998675562829255
-41,36,170590640,-80906301,999,2452027846628074752317656633,2268980591416238811991951544,1748906536557821582563274160,733355751620998675562829255
-41,36,170590640,-80906301,26,46055390617,41714673255,34169217200,18125123544
-5,44,57878913,12642040,63,2778996090487120353,2556827383749699103,2024155336530384440,585715960903147640
-5,44,57878913,12642040,65,20234461127553384633,19399184483902029008,12696186158476139705,2329747842666412840
-5,44,2741924904,-1401894085,65,20234461127553384633,19399184483902029008,12696186158476139705,2329747842666412840
-5,44,2741924904,-1401894085,63,2778996090487120353,2556827383749699103,2024155336530384440,585715960903147640
-5,44,4669000304,944254963,75,3037467718844497770129,2877363855098380947880,2016612085130087009647,444897078221606141840
-5,44,4669000304,944254963,83,24504057146788194291849,23896480714429616100215,13623248018235893097232,1519814187310380835480
56,-165,-383021,380940,34,1367141947873,1226022682752,1047978087905,408600530760
56,-165,-383021,380940,70,228746036963039501833,210878774189729581880,163180699054891578792,84616109521023161865
56,-165,2644685,570612,34,1367141947873,1226022682752,1047978087905,408600530760
56,-165,2644685,570612,78,10739931407728904606857,10320518856970101984393,6653143628547990852040,772654695228940017240
56,-165,210241305,52130512,70,228746036963039501833,210878774189729581880,163180699054891578792,84616109521023161865
56,-165,210241305,52130512,34,1367141947873,1226022682752,1047978087905,408600530760
56,-165,-216116793,168202160,78,10739931407728904606857,10320518856970101984393,6653143628547990852040,772654695228940017240
56,-165,-216116793,168202160,34,1367141947873,1226022682752,1047978087905,408600530760
233,60,7584,54605,60,481334894209428521,438980913824794665,343651286746207896,225712385669145920
233,60,7584,54605,22,12558554489,11988496761,7813353720,4707813440
233,60,-216285,23504,22,12558554489,11988496761,7813353720,4707813440
233,60,-216285,23504,71,375075545025537358721,335981923744570504065,275897431444390465240,188195571677171463096
233,60,-6625405,2392764,22,12558554489,11988496761,7813353720,4707813440
233,60,-6625405,2392764,60,481334894209428521,438980913824794665,343651286746207896,225712385669145920
233,60,20642296,53214885,71,375075545025537358721,335981923744570504065,275897431444390465240,188195571677171463096
233,60,20642296,53214885,22,12558554489,11988496761,7813353720,4707813440
-93,80,400,-37,4,12197457,11289040,8282543,5870000
-93,80,400,-37,18,1787882337,1662997663,1237796960,686398000
-93,80,-2433,920,18,1787882337,1662997663,1237796960,686398000
-93,80,-2433,920,4,12197457,11289040,8282543,5870000
-93,80,-84237,359800,4,12197457,11289040,8282543,5870000
-93,80,-84237,359800,81,17503689286309573964097,15876595946759369395903,12896301483090810351440,7188470920864810763360
-93,80,11502160,2925527,81,17503689286309573964097,15876595946759369395903,12896301483090810351440,7188470920864810763360
-93,80,11502160,2925527,4,12197457,11289040,8282543,5870000
-93,80,183932400,41330083,999,139072666077601328885621887377,131328620987942610103659392623,93557550865690011201743566000,5401179661915437738427715440
-93,80,183932400,41330083,18,1787882337,1662997663,1237796960,686398000
-93,80,-250475353,697603720,18,1787882337,1662997663,1237796960,686398000
-93,80,-250475353,697603720,999,139072666077601328885621887377,131328620987942610103659392623,93557550865690011201743566000,5401179661915437738427715440
553,80,33400,-19537,21,5179020201,4657804375,3971389576,24743080
553,80,33400,-19537,51,5380742305932201,5352683902805120,1841841620201576,1554532675059625
553,80,-294473,635180,51,5380742305932201,5352683902805120,1841841620201576,1554532675059625
553,80,-294473,635180,21,5179020201,4657804375,3971389576,24743080
553,80,878775,1856708,91,1088768337585323892067521,974071910293355929264000,842960029363955380661896,76399836994875695614145
553,80,878775,1856708,21,5179020201,4657804375,3971389576,24743080
553,80,94116264,11111135,21,5179020201,4657804375,3971389576,24743080
553,80,94116264,11111135,91,1088768337585323892067521,974071910293355929264000,842960029363955380661896,76399836994875695614145
-125,92,936,-5281,41,25866132798297,23449050222680,18776929334105,12035933588696
-125,92,936,-5281,27,64244765937,55479193841,52289667920,17111129720
-125,92,10490417,84724,27,64244765937,55479193841,52289667920,17111129720
-125,92,10490417,84724,100,31293260543726494476580617,27386104940472276169105720,25024939958628554701755145,8089277164034877786318544
-125,92,1717941,427352,27,64244765937,55479193841,52289667920,17111129720
-125,92,1717941,427352,41,25866132798297,23449050222680,18776929334105,12035933588696
-125,92,1877877296,-1326891341,100,31293260543726494476580617,27386104940472276169105720,25024939958628554701755145,8089277164034877786318544
-125,92,1877877296,-1326891341,27,64244765937,55479193841,52289667920,17111129720
-125,92,8204718073,2152051820,66,77107030404994920297,69320669852667799672,56375727168307546985,38320435200564613600
-125,92,8204718073,2152051820,999,3677215554888336428049606273,3368564311979655025855012600,2320714811284022366485718240,2237780791013852505780494977
-125,92,4887278104,-1856675737,41,25866132798297,23449050222680,18776929334105,12035933588696
-125,92,4887278104,-1856675737,999,3991096389697638324039142815248313,3619759640991069943317745685641720,2798227399699632035038808311974841,2133999097873523205616379862269920
1865,132,30768,-57253,36,2051764828361,2032977944240,894416022327,125777308440
1865,132,30768,-57253,3,8707481,8332208,5507880,1705575
1865,132,103611,244444,999,10018903766533510889057062601,9667333776938051160393251960,6052043593595878314368914743,168645743122342622620098480
1865,132,103611,244444,3,8707481,8332208,5507880,1705575
1865,132,810062992,128701299,3,8707481,8332208,5507880,1705575
1865,132,810062992,128701299,999,10018903766533510889057062601,9667333776938051160393251960,6052043593595878314368914743,168645743122342622620098480
136,-133,-1005,568,12,156646737,146627384,108644015,27450160
136,-133,-1005,568,5,16003017,14173720,12552200,4479031
136,-133,-511289,1551044,88,409840652625395469143913,381461080909525552802665,281048473715879152495040,168213921178037201816584
136,-133,-511289,1551044,5,16003017,14173720,12552200,4479031
136,-133,23685689,3885556,106,174088703841632292189275073,170289556324371670328363560,92419682545114696981174360,46402888024739111034420161
136,-133,23685689,3885556,12,156646737,146627384,108644015,27450160
136,-133,27660845,6860848,5,16003017,14173720,12552200,4479031
136,-133,27660845,6860848,88,409840652625395469143913,381461080909525552802665,281048473715879152495040,168213921178037201816584
136,-133,-63528125,85096232,12,156646737,146627384,108644015,27450160
136,-133,-63528125,85096232,106,174088703841632292189275073,170289556324371670328363560,92419682545114696981174360,46402888024739111034420161
2265,184,68256,-135125,32,820234293081,814295112544,337210257575,78558599440
2265,184,68256,-135125,80,12214291847502204701241,11684173258429439467360,7745659501403353894384,2120589250533219579335
2265,184,975499,3009200,32,820234293081,814295112544,337210257575,78558599440
2265,184,975499,3009200,999,5627688864176878140758748009,5585259068218868809780112240,2333861078054615396464078960,700306884975436628944196759
2265,184,-243773021,102162920,80,12214291847502204701241,11684173258429439467360,7745659501403353894384,2120589250533219579335
2265,184,-243773021,102162920,32,820234293081,814295112544,337210257575,78558599440
-1617,200,34272,-4885,14,638523249,630662624,275156240,219076465
-1617,200,34272,-4885,13,589845921,582665296,260052385,186668000
-1617,200,10780560,34761581,13,589845921,582665296,260052385,186668000
-1617,200,10780560,34761581,999,17726595196734905515392721211749761,17007029137278431161651951093629136,9645408167029758797295194170291585,8953806277800028928928574895292560
-1617,200,70543053,13263640,14,638523249,630662624,275156240,219076465
-1617,200,70543053,13263640,999,232342423228889331033744502413790209,231731012527246649377354919069039584,64293600667471498913783483530660865,60577830930759520260354386656454000
1873,200,51416,-9425,42,26969608212297,26901926181047,8528631804200,487814048600
1873,200,51416,-9425,57,103117303193818953,103028409596553328,24975412054750025,4092004076331400
1873,200,-3599825,50036084,57,103117303193818953,103028409596553328,24975412054750025,4092004076331400
1873,200,-3599825,50036084,42,26969608212297,26901926181047,8528631804200,487814048600
1873,200,132865575,498865492,999,57200853327529989709554626413735377,57002663285429564607595364413344752,19155116498422369292742084797142200,10672267991976058585739666977270225
1873,200,132865575,498865492,42,26969608212297,26901926181047,8528631804200,487814048600
1861,240,-361,540,33,1059621884297,1041572957760,535914713672,187577183625
1861,240,-361,540,11,145087793,122055375,121952168,1841160
1861,240,7800,-5509,11,145087793,122055375,121952168,1841160
1861,240,7800,-5509,33,1059621884297,1041572957760,535914713672,187577183625
1861,240,34960712,4843695,11,145087793,122055375,121952168,1841160
1861,240,34960712,4843695,999,601546336586676758217069747353,507376500694215143603840904000,504285647197281669856795386728,6571990083263349384871692135
1861,240,89229075,185612164,999,601546336586676758217069747353,507376500694215143603840904000,504285647197281669856795386728,6571990083263349384871692135
1861,240,89229075,185612164,11,145087793,122055375,121952168,1841160
7493,280,210240,509509,29,219813483369,213248725865,127775447744,17410908560
7493,280,210240,509509,110,553159406891791612332258969,529615238960769406475597465,347031293687953323957873344,145447476353209425394611920
